feb_Leads_2024,mar_Leads_2024,abr_Leads_24,may_Leads_24,jun_Leads_24,jul_Leads_24,ago_Leads_24,sep_Leads_24,oct_Leads_24,nov_Leads_24,dic_Leads_24,ene_Leads_25,feb_Leads_25,mar_Leads_25,abr_Leads_25,Total ,Total Ajustado,Raking ,Raking ajustado,feb_Ventas_24,mar_Ventas_24,abr_Ventas_24,may_Ventas_24,jun_Ventas_24,jul_Ventas_24,ago_Ventas_24,sep_Ventas_24,oct_Ventas_24,nov_Ventas_24,dic_Ventas_24,ene_Ventas_25,feb_Ventas_25,mar_Ventas_25,abr_Ventas_25,may_Ventas_25,jun_Ventas_25,Leads Prom X Mes,T. Ventas Piso ,Factor   ,Total de Ventas Historicas ,RAKING VENTAS,Dependencia de Piso ,Historico de PDM,Historico de SDC,Conversion PDM,Conversion SDC,Factor  PDM,Factor  SDC,Raking PDM,Raking SDC
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,0.0,17,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,23,0.0,1.0,5,1.0,0.0,1.0,5.0,1,20
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,12.0,1.1,5,62.0,61.0,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,1.0,2.0,1.0,1.0,0.0,10,11.0,0.18,18.0,6,0.61,59.0,40,0.31,0.02,3.28,2.22,7,10
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,38,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,1,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.1,6,33.0,33.0,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,8,3.0,0.09,8.0,11,0.38,28.0,31,0.29,0.01,3.5,3.88,9,18
0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,4.0,0.9,11.0,7.0,1.2,0.0,0,57.0,55.0,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.0,0.0,0.2,0.0,0.0,0.0,0.0,7,9.0,0.16,15.0,8,0.6,64.0,30,0.23,0.02,4.27,2.0,13,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,4.0,4.0,32,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.25,4.0,17,0.25,21.0,26,0.19,0.01,5.25,6.5,18,23
18.0,0.3,1.7,1.1,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,103.0,3.0,5,21,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6.0,0.06,0.0,0,0.0,54.0,8,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,38,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,3.0,5,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0,3.0,3.0,34,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,19,0.0,25.0,22,0.08,0.0,12.5,11.0,22,26
1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,13.0,4.0,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2.0,0.15,21.0,4,0.1,20.0,32,1.05,0.0,0.95,1.52,0,3
