,ABC,Afirme,Banorte,BBVA,Ensueño,FinanMadrid,INBURSA,MSTART,Nexu,Santander,Scotiabank,Sumafin,Bajio ,Kuna
"Enero, 24",0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Febrero, 24",0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Marzo, 24",0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Abril, 24",0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Mayo, 24",0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Junio, 24",0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Julio, 24",0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Agosto, 24",0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Septiembre, 24",0,18,1,12.0,0.0,0,0,0,0.0,1,0.0,0,0,0
"Octubre, 24",0,23,1,6.0,0.0,1,0,0,0.0,0,0.0,0,0,0
"Noviembre, 24",0,37,2,10.0,0.0,0,0,0,0.0,0,0.0,0,0,0
"Diciembre, 25",0,42,4,14.0,0.0,0,0,0,0.0,1,0.0,0,0,0
"Enero, 25",0,0,31,4.0,13.0,0,0,0,0.0,35,0.0,0,0,0
"Febrero, 25",0,0,41,7.0,7.0,1,0,4,0.0,13,3.0,0,0,0
"Marzo, 25",0,0,31,3.0,7.0,0,0,9,0.0,40,0.0,0,0,0
"Abril, 25",0,0,16,3.0,1.0,0,0,10,0.0,29,0.0,0,0,0
"Mayo, 25",0,0,44,9.0,4.0,0,0,8,0.0,9,2.0,0,0,0
"Junio, 25",1,0,47,3.0,6.0,0,0,10,0.0,30,0.0,0,0,0
"Julio, 25",0,1,58,6.0,3.0,0,0,10,0.0,22,0.0,0,0,0
"Agosto, 25",0,0,48,2.0,9.0,0,0,6,1.0,31,2.0,0,0,0
"Septiembre, 25",0,0,62,6.0,11.0,0,0,14,0.0,27,2.0,0,0,0
"Octubre, 25",0,0,74,10.0,3.0,0,0,11,0.0,32,2.0,0,0,0
"Noviembre, 25",0,0,50,16.0,18.0,0,0,15,1.0,16,2.0,0,0,0
"Diciembre, 25.1",0,0,69,6.0,3.0,0,0,3,0.0,11,0.0,0,0,0
"Enero, 26",0,0,53,7.0,9.0,0,0,12,1.0,26,3.0,2,0,0
"Febrero, 26",0,0,33,10.0,4.0,0,0,12,0.0,18,2.0,4,0,0
"Marzo, 26",0,0,33,12.0,3.0,0,0,9,0.0,25,1.0,1,1,0
"Abril, 26",0,0,33,7.0,1.0,0,0,5,0.0,21,3.0,0,0,4
"Mayo,26",0,0,34,11.0,8.0,0,0,11,0.0,18,0.0,0,0,4
"Junio, 26",0,0,15,16.0,8.0,0,0,6,0.0,30,0.0,0,0,1
"Julio,26",0,0,10,3.0,7.0,0,0,1,0.0,7,4.0,0,0,0
