,Generadas,Aprobadas,Condicionadas,Rechazadas,Formalizadas,% de Aprobación,% de Formalizacion 
"Enero, 24",5.0,1.0,0.0,4.0,1.0,0.2,0.475
"Febrero, 24",6.0,2.0,0.0,4.0,1.0,0.3333333333333333,0.5
"Marzo, 24",11.0,7.0,1.0,4.0,5.0,0.6363636363636364,0.7142857142857143
"Abril, 24",23.0,14.0,0.0,9.0,11.0,0.6086956521739131,0.475
"Mayo, 24",26.0,8.0,4.0,14.0,3.0,0.3076923076923077,0.375
"Junio, 24",43.0,13.0,0.0,22.0,6.0,0.3023255813953488,0.46153846153846156
"Julio, 24",55.0,30.0,3.0,17.0,17.0,0.5454545454545454,0.5666666666666667
"Agosto, 24",36.0,19.0,0.0,13.0,9.0,0.5277777777777778,0.47368421052631576
"Septiembre, 24",56.0,26.0,1.0,13.0,7.0,0.4642857142857143,0.2692307692307692
"Octubre, 24",79.0,31.0,32.0,12.0,14.0,0.3924050632911392,0.45161290322580644
"Noviembre, 24",76.0,25.0,26.0,25.0,14.0,0.32894736842105265,0.56
"Diciembre, 25",103.0,39.0,33.0,26.0,17.0,0.3786407766990291,0.4358974358974359
"Enero, 25",83.0,30.0,25.0,26.0,19.0,0.3614457831325301,0.6333333333333333
"Febrero, 25",76.0,27.0,18.0,21.0,12.0,0.35526315789473684,0.4444444444444444
"Marzo, 25",92.0,31.0,27.0,30.0,20.0,0.33695652173913043,0.6451612903225806
"Abril, 25",59.0,35.0,6.0,16.0,17.0,0.5932203389830508,0.4857142857142857
"Mayo, 25",76.0,40.0,7.0,25.0,19.0,0.5263157894736842,0.475
"Junio, 25",97.0,46.0,25.0,22.0,25.0,0.4742268041237113,0.5434782608695652
"Julio, 25",104.0,41.0,22.0,33.0,21.0,0.3942307692307692,0.5121951219512195
"Agosto, 25",99.0,27.0,22.0,44.0,13.0,0.2727272727272727,0.48148148148148145
"Septiembre, 25",127.0,43.0,32.0,49.0,25.0,0.33858267716535434,0.5813953488372093
"Octubre, 25",136.0,51.0,22.0,23.5,25.0,0.375,0.49019607843137253
"Noviembre, 25",118.0,49.0,32.0,36.0,24.0,0.4152542372881356,0.4897959183673469
"Diciembre, 25.1",111.0,31.0,49.0,28.0,14.0,0.27927927927927926,0.45161290322580644
"Enero, 26",113.0,37.0,34.0,36.0,21.0,0.3274336283185841,0.5675675675675675
"Febrero, 26",83.0,37.0,21.0,25.0,17.0,0.4457831325301205,0.4594594594594595
"Marzo, 26",85.0,41.0,14.0,30.0,18.0,0.4823529411764706,0.43902439024390244
"Abril, 26",74.0,42.0,16.0,16.0,16.0,0.5675675675675675,0.38095238095238093
"Mayo,26",95.0,44.0,17.0,30.0,19.0,0.4631578947368421,0.4318181818181818
"Junio, 26",82.0,35.0,10.0,33.0,13.0,0.4268292682926829,0.37142857142857144
"Julio,26",32.0,12.0,9.0,9.0,4.0,0.375,0.3333333333333333
