,Mal Buro,Score bajo,Capacidad de pago ,Otros
"Enero, 24",0.0,0.0,0.0,0.0
"Febrero, 24",0.0,0.0,0.0,0.0
"Marzo, 24",0.0,0.0,0.0,0.0
"Abril, 24",0.0,0.0,0.0,0.0
"Mayo, 24",0.0,0.0,0.0,0.0
"Junio, 24",0.0,0.0,0.0,0.0
"Julio, 24",0.0,0.0,0.0,0.0
"Agosto, 24",0.0,0.0,0.0,0.0
"Septiembre, 24",0.0,0.0,0.0,0.0
"Octubre, 24",0.0,0.0,0.0,0.0
"Noviembre, 24",0.0,0.0,0.0,0.0
"Diciembre, 25",0.0,0.0,0.0,0.0
"Enero, 25",0.0,0.0,0.0,0.0
"Febrero, 25",0.0,0.0,0.0,0.0
"Marzo, 25",0.0,0.0,0.0,0.0
"Abril, 25",0.0,0.0,0.0,0.0
"Mayo, 25",22.0,3.0,0.0,0.0
"Junio, 25",17.0,3.0,2.0,0.0
"Julio, 25",27.0,5.0,0.0,0.0
"Agosto, 25",31.0,12.0,0.0,0.0
"Septiembre, 25",40.0,8.0,1.0,0.0
"Octubre, 25",54.0,6.0,0.0,0.0
"Noviembre, 25",26.0,4.0,0.0,0.0
"Diciembre, 25.1",27.0,7.0,0.0,0.0
"Enero, 26",33.0,5.0,0.0,0.0
"Febrero, 26",19.0,3.0,2.0,0.0
"Marzo, 26",15.0,10.0,3.0,0.0
"Abril, 26",12.0,4.0,0.0,0.0
"Mayo,26",12.0,10.0,0.0,0.0
"Junio, 26",22.0,4.0,0.0,0.0
"Julio,26",0.0,0.0,0.0,0.0
Total,0.0,0.0,0.0,0.0
