,Compra en otro lado,Falta importe para enganche,Espera comprar en futuro,Otros
"Enero, 24",0.0,0.0,0.0,0.0
"Febrero, 24",0.0,0.0,0.0,0.0
"Marzo, 24",0.0,0.0,0.0,0.0
"Abril, 24",0.0,0.0,0.0,0.0
"Mayo, 24",0.0,0.0,0.0,0.0
"Junio, 24",0.0,0.0,0.0,0.0
"Julio, 24",0.0,0.0,0.0,0.0
"Agosto, 24",0.0,0.0,0.0,0.0
"Septiembre, 24",0.0,0.0,0.0,0.0
"Octubre, 24",0.0,0.0,0.0,0.0
"Noviembre, 24",0.0,0.0,0.0,0.0
"Diciembre, 25",0.0,0.0,0.0,0.0
"Enero, 25",0.0,0.0,0.0,0.0
"Febrero, 25",0.0,0.0,0.0,0.0
"Marzo, 25",0.0,0.0,0.0,0.0
"Abril, 25",0.0,0.0,0.0,0.0
"Mayo, 25",4.0,0.0,4.0,3.0
"Junio, 25",5.0,0.0,1.0,4.0
"Julio, 25",3.0,0.0,1.0,6.0
"Agosto, 25",5.0,0.0,0.0,0.0
"Septiembre, 25",5.0,0.0,1.0,4.0
"Octubre, 25",0.0,0.0,8.0,5.0
"Noviembre, 25",6.0,0.0,4.0,0.0
"Diciembre, 25.1",0.0,0.0,3.0,3.0
"Enero, 26",4.0,0.0,9.0,0.0
"Febrero, 26",1.0,0.0,6.0,5.0
"Marzo, 26",1.0,0.0,4.0,0.0
"Abril, 26",2.0,0.0,10.0,3.0
"Mayo,26",2.0,0.0,1.0,9.0
"Junio, 26",2.0,0.0,7.0,5.0
"Julio,26",0.0,0.0,0.0,0.0
Total,0.0,0.0,0.0,0.0
